,Date,High,Low,Mid,Last,Bid,Ask,Volume
64,2021-04-28,56432.0,53917.0,54543.5,54557.0,54543.0,54544.0,5720.58406771
65,2021-04-27,55437.0,53304.0,54926.0,54937.0,54919.0,54933.0,7419.7064954200005
66,2021-04-26,54387.0,48564.68980279,53721.5,53721.263134,53721.0,53722.0,11341.36658145
67,2021-04-25,50671.0,47112.0,48658.5,48677.0,48649.0,48668.0,9160.98056473
68,2021-04-24,51201.0,48852.0,50838.5,50838.02848208,50838.0,50839.0,6049.31949017
69,2021-04-23,52250.0,47560.0,50647.0,50652.0,50642.0,50652.0,17117.41144827
70,2021-04-22,55500.0,50575.0,51527.5,51531.0,51527.0,51528.0,12770.42392046
71,2021-04-21,56790.0,53807.0,54193.5,54198.0,54193.0,54194.0,6656.21968092
72,2021-04-20,57099.0,53337.0,56301.5,56301.0,56301.0,56302.0,8544.37085044
73,2021-04-19,57500.0,54256.0,55938.5,55924.0,55938.0,55939.0,8428.47558519
74,2021-04-18,60737.0,50500.0,56602.5,56602.25981852,56602.0,56603.0,26280.96945357
75,2021-04-17,62450.0,59662.0,60509.5,60509.0,60509.0,60510.0,7002.94686783
76,2021-04-16,63520.0,60005.0,61744.5,61741.0,61741.0,61748.0,11516.95370397
77,2021-04-15,63845.0,62000.0,63332.5,63332.0,63332.0,63333.0,6751.41342023
78,2021-04-14,64829.0,61306.0,62831.5,62832.0,62831.0,62832.0,11315.46887928
79,2021-04-13,63476.0,59859.0,63196.0,63200.0,63195.0,63197.0,10592.57161231
80,2021-04-12,61338.0,59492.0,60010.5,60010.0,60010.0,60011.0,5531.99113112
81,2021-04-11,60722.0,59078.0,60100.5,60100.0,60100.0,60101.0,4574.35914191
82,2021-04-10,61243.0,57900.0,59278.5,59279.0,59278.0,59279.0,9675.62505395
83,2021-04-09,58880.0,57713.0,58126.5,58126.0,58126.0,58127.0,3679.74469386
84,2021-04-08,58155.0,55714.0,57861.5,57861.0,57861.0,57862.0,4582.48478498
85,2021-04-07,58639.0,55555.0,56514.0,56511.0,56511.0,56517.0,8742.59230006
86,2021-04-06,59499.0,57401.0,57930.5,57926.0,57929.0,57932.0,5755.31018301
87,2021-04-05,59250.0,56850.0,58895.5,58895.0,58895.0,58896.0,5428.59523399
88,2021-04-04,58480.0,56500.0,58124.5,58124.0,58124.0,58125.0,5477.16956015
89,2021-04-03,59841.0,57120.0,57532.5,57526.0,57531.0,57534.0,6144.14712187
90,2021-04-02,60190.0,58327.9868938,58824.5,58825.0,58824.0,58825.0,6104.00005886
91,2021-04-01,59483.0,57955.0,58897.5,58911.0,58895.0,58900.0,4425.96436917
